Product Name,Main Specs,Additional Specs,Derived Models
NVIDIA A100 PCIe 40 GB,"Graphics Processor: GA100
Cores: 6912
TMUs: 432
ROPs: 160
Memory Size: 40 GB
Memory Type: HBM2e
Bus Width: 5120 bit","Graphics Processor:
GPU Name: GA100
Architecture: Ampere
Foundry: TSMC
Process Size: 7 nm
Transistors: 54,200 million
Density: 65.6M / mm²
Die Size: 826 mm²
Chip Package: BGA-2743

Graphics Card:
Release Date: Jun 22nd, 2020
Generation: Tesla Ampere (Axx)
Predecessor: Tesla Turing
Successor: Tesla Ada
Production: Active
Bus Interface: PCIe 4.0 x16

Clock Speeds:
Base Clock: 765 MHz
Boost Clock: 1410 MHz
Memory Clock: 1215 MHz 2.4 Gbps effective

Memory:
Memory Size: 40 GB
Memory Type: HBM2e
Memory Bus: 5120 bit
Bandwidth: 1.56 TB/s

Render Config:
Shading Units: 6912
TMUs: 432
ROPs: 160
SM Count: 108
Tensor Cores: 432
L1 Cache: 192 KB (per SM)
L2 Cache: 40 MB

Theoretical Performance:
Pixel Rate: 225.6 GPixel/s
Texture Rate: 609.1 GTexel/s
BF16: 311.84 TFLOPS (16:1)
TF32: 155.92 TFLOPs (8:1)
FP64 Tensor: 19.49 TFLOPS (1:1)
FP16 (half): 77.97 TFLOPS (4:1)
FP32 (float): 19.49 TFLOPS
FP64 (double): 9.746 TFLOPS (1:2)

Board Design:
Slot Width: Dual-slot
Length: 267 mm 10.5 inches
Width: 111 mm 4.4 inches
TDP: 250 W
Suggested PSU: 600 W
Outputs: No outputs
Power Connectors: 8-pin EPS
Board Number: P1001 SKU 200

Graphics Features:
DirectX: N/A
OpenGL: N/A
OpenCL: 3.0
Vulkan: N/A
CUDA: 8.0
Shader Model: N/A

",없음
NVIDIA A100 SXM4 40 GB,"Graphics Processor: GA100
Cores: 6912
TMUs: 432
ROPs: 160
Memory Size: 40 GB
Memory Type: HBM2e
Bus Width: 5120 bit","Graphics Processor:
GPU Name: GA100
Architecture: Ampere
Foundry: TSMC
Process Size: 7 nm
Transistors: 54,200 million
Density: 65.6M / mm²
Die Size: 826 mm²
Chip Package: BGA-2743

Graphics Card:
Release Date: May 14th, 2020
Generation: Tesla Ampere (Axx)
Predecessor: Tesla Turing
Successor: Tesla Ada
Production: Active
Bus Interface: PCIe 4.0 x16

Clock Speeds:
Base Clock: 1095 MHz
Boost Clock: 1410 MHz
Memory Clock: 1215 MHz 2.4 Gbps effective

Memory:
Memory Size: 40 GB
Memory Type: HBM2e
Memory Bus: 5120 bit
Bandwidth: 1.56 TB/s

Render Config:
Shading Units: 6912
TMUs: 432
ROPs: 160
SM Count: 108
Tensor Cores: 432
L1 Cache: 192 KB (per SM)
L2 Cache: 40 MB

Theoretical Performance:
Pixel Rate: 225.6 GPixel/s
Texture Rate: 609.1 GTexel/s
BF16: 311.84 TFLOPS (16:1)
TF32: 155.92 TFLOPs (8:1)
FP64 Tensor: 19.49 TFLOPS (1:1)
FP16 (half): 77.97 TFLOPS (4:1)
FP32 (float): 19.49 TFLOPS
FP64 (double): 9.746 TFLOPS (1:2)

Board Design:
Slot Width: SXM Module
TDP: 400 W
Suggested PSU: 800 W
Outputs: No outputs
Power Connectors: None

Graphics Features:
DirectX: N/A
OpenGL: N/A
OpenCL: 3.0
Vulkan: N/A
CUDA: 8.0
Shader Model: N/A

",없음
NVIDIA A100 SXM4 80 GB,"Graphics Processor: GA100
Cores: 6912
TMUs: 432
ROPs: 160
Memory Size: 80 GB
Memory Type: HBM2e
Bus Width: 5120 bit","Graphics Processor:
GPU Name: GA100
Architecture: Ampere
Foundry: TSMC
Process Size: 7 nm
Transistors: 54,200 million
Density: 65.6M / mm²
Die Size: 826 mm²
Chip Package: BGA-2743

Graphics Card:
Release Date: Nov 16th, 2020
Generation: Tesla Ampere (Axx)
Predecessor: Tesla Turing
Successor: Tesla Ada
Production: Active
Bus Interface: PCIe 4.0 x16

Clock Speeds:
Base Clock: 1275 MHz
Boost Clock: 1410 MHz
Memory Clock: 1593 MHz 3.2 Gbps effective

Memory:
Memory Size: 80 GB
Memory Type: HBM2e
Memory Bus: 5120 bit
Bandwidth: 2.04 TB/s

Render Config:
Shading Units: 6912
TMUs: 432
ROPs: 160
SM Count: 108
Tensor Cores: 432
L1 Cache: 192 KB (per SM)
L2 Cache: 40 MB

Theoretical Performance:
Pixel Rate: 225.6 GPixel/s
Texture Rate: 609.1 GTexel/s
BF16: 311.84 TFLOPS (16:1)
TF32: 155.92 TFLOPs (8:1)
FP64 Tensor: 19.49 TFLOPS (1:1)
FP16 (half): 77.97 TFLOPS (4:1)
FP32 (float): 19.49 TFLOPS
FP64 (double): 9.746 TFLOPS (1:2)

Board Design:
Slot Width: OAM Module
TDP: 400 W
Suggested PSU: 800 W
Outputs: No outputs
Power Connectors: None

Graphics Features:
DirectX: N/A
OpenGL: N/A
OpenCL: 3.0
Vulkan: N/A
CUDA: 8.0
Shader Model: N/A

",없음
NVIDIA A40 PCIe,"Graphics Processor: GA102
Cores: 10752
TMUs: 336
ROPs: 112
Memory Size: 48 GB
Memory Type: GDDR6
Bus Width: 384 bit","Graphics Processor:
GPU Name: GA102
Architecture: Ampere
Foundry: Samsung
Process Size: 8 nm
Transistors: 28,300 million
Density: 45.1M / mm²
Die Size: 628 mm²
Chip Package: BGA-3328

Graphics Card:
Release Date: Oct 5th, 2020
Availability: 2021
Generation: Tesla Ampere (Axx)
Predecessor: Tesla Turing
Successor: Tesla Ada
Production: Active
Bus Interface: PCIe 4.0 x16

Clock Speeds:
Base Clock: 1305 MHz
Boost Clock: 1740 MHz
Memory Clock: 1812 MHz 14.5 Gbps effective

Memory:
Memory Size: 48 GB
Memory Type: GDDR6
Memory Bus: 384 bit
Bandwidth: 695.8 GB/s

Render Config:
Shading Units: 10752
TMUs: 336
ROPs: 112
SM Count: 84
Tensor Cores: 336
RT Cores: 84
L1 Cache: 128 KB (per SM)
L2 Cache: 6 MB

Theoretical Performance:
Pixel Rate: 194.9 GPixel/s
Texture Rate: 584.6 GTexel/s
FP16 (half): 37.42 TFLOPS (1:1)
FP32 (float): 37.42 TFLOPS
FP64 (double): 584.6 GFLOPS (1:64)

Board Design:
Slot Width: Dual-slot
Length: 267 mm 10.5 inches
Width: 111 mm 4.4 inches
TDP: 300 W
Suggested PSU: 700 W
Outputs: 3x DisplayPort 1.4a
Power Connectors: 8-pin EPS
Board Number: PG133 SKU 200

Graphics Features:
DirectX: 12 Ultimate (12_2)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
CUDA: 8.6
Shader Model: 6.7

","기반 제품명:NVIDIA RTX A40-24Q -해당 제품의 바뀐 사항 GPU Clock: 1305 MHz, Boost Clock: 1740 MHz, Memory Clock: 1812 MHz, 외의 바뀐 사항: 24 GB
기반 제품명:NVIDIA RTX A40-2Q -해당 제품의 바뀐 사항 GPU Clock: 1305 MHz, Boost Clock: 1740 MHz, Memory Clock: 1812 MHz, 외의 바뀐 사항: 2 GB
기반 제품명:NVIDIA RTX A40-4Q -해당 제품의 바뀐 사항 GPU Clock: 1305 MHz, Boost Clock: 1740 MHz, Memory Clock: 1812 MHz, 외의 바뀐 사항: 4 GB
기반 제품명:NVIDIA RTX A40-6Q -해당 제품의 바뀐 사항 GPU Clock: 1305 MHz, Boost Clock: 1740 MHz, Memory Clock: 1812 MHz, 외의 바뀐 사항: 6 GB
"
NVIDIA DRIVE A100 PROD,"Graphics Processor: GA100
Cores: 6912
TMUs: 432
ROPs: 192
Memory Size: 32 GB
Memory Type: HBM2e
Bus Width: 6144 bit","Graphics Processor:
GPU Name: GA100
Architecture: Ampere
Foundry: TSMC
Process Size: 7 nm
Transistors: 54,200 million
Density: 65.6M / mm²
Die Size: 826 mm²
Chip Package: BGA-2743

Graphics Card:
Release Date: May 14th, 2020
Generation: DRIVE (Axx)
Production: Active
Bus Interface: PCIe 4.0 x16

Clock Speeds:
Base Clock: 1065 MHz
Boost Clock: 1410 MHz
Memory Clock: 1215 MHz 2.4 Gbps effective

Memory:
Memory Size: 32 GB
Memory Type: HBM2e
Memory Bus: 6144 bit
Bandwidth: 1.87 TB/s

Render Config:
Shading Units: 6912
TMUs: 432
ROPs: 192
SM Count: 108
Tensor Cores: 432
L1 Cache: 192 KB (per SM)
L2 Cache: 32 MB

Theoretical Performance:
Pixel Rate: 270.7 GPixel/s
Texture Rate: 609.1 GTexel/s
FP16 (half): 77.97 TFLOPS (4:1)
FP32 (float): 19.49 TFLOPS
FP64 (double): 9.746 TFLOPS (1:2)

Board Design:
Slot Width: IGP
TDP: 400 W
Suggested PSU: 800 W
Outputs: No outputs
Power Connectors: None

Graphics Features:
DirectX: N/A
OpenGL: N/A
OpenCL: 3.0
Vulkan: N/A
CUDA: 8.0
Shader Model: N/A

",없음
NVIDIA GRID A100A,"Graphics Processor: GA100
Cores: 6912
TMUs: 432
ROPs: 192
Memory Size: 32 GB
Memory Type: HBM2e
Bus Width: 6144 bit","Graphics Processor:
GPU Name: GA100
Architecture: Ampere
Foundry: TSMC
Process Size: 7 nm
Transistors: 54,200 million
Density: 65.6M / mm²
Die Size: 826 mm²
Chip Package: BGA-2743

Graphics Card:
Release Date: May 14th, 2020
Generation: GRID (Ax)
Production: Active
Bus Interface: PCIe 4.0 x16

Clock Speeds:
Base Clock: 900 MHz
Boost Clock: 1005 MHz
Memory Clock: 1215 MHz 2.4 Gbps effective

Memory:
Memory Size: 32 GB
Memory Type: HBM2e
Memory Bus: 6144 bit
Bandwidth: 1.87 TB/s

Render Config:
Shading Units: 6912
TMUs: 432
ROPs: 192
SM Count: 108
Tensor Cores: 432
L1 Cache: 192 KB (per SM)
L2 Cache: 32 MB

Theoretical Performance:
Pixel Rate: 193.0 GPixel/s
Texture Rate: 434.2 GTexel/s
FP16 (half): 55.57 TFLOPS (4:1)
FP32 (float): 13.89 TFLOPS
FP64 (double): 6.947 TFLOPS (1:2)

Board Design:
Slot Width: IGP
TDP: 400 W
Suggested PSU: 800 W
Outputs: No outputs
Power Connectors: None

Graphics Features:
DirectX: N/A
OpenGL: N/A
OpenCL: 3.0
Vulkan: N/A
CUDA: 8.0
Shader Model: N/A

",없음
NVIDIA GRID A100B,"Graphics Processor: GA100
Cores: 6912
TMUs: 432
ROPs: 192
Memory Size: 48 GB
Memory Type: HBM2e
Bus Width: 6144 bit","Graphics Processor:
GPU Name: GA100
Architecture: Ampere
Foundry: TSMC
Process Size: 7 nm
Transistors: 54,200 million
Density: 65.6M / mm²
Die Size: 826 mm²
Chip Package: BGA-2743

Graphics Card:
Release Date: May 14th, 2020
Generation: GRID (Ax)
Production: Active
Bus Interface: PCIe 4.0 x16

Clock Speeds:
Base Clock: 900 MHz
Boost Clock: 1005 MHz
Memory Clock: 1215 MHz 2.4 Gbps effective

Memory:
Memory Size: 48 GB
Memory Type: HBM2e
Memory Bus: 6144 bit
Bandwidth: 1.87 TB/s

Render Config:
Shading Units: 6912
TMUs: 432
ROPs: 192
SM Count: 108
Tensor Cores: 432
L1 Cache: 192 KB (per SM)
L2 Cache: 48 MB

Theoretical Performance:
Pixel Rate: 193.0 GPixel/s
Texture Rate: 434.2 GTexel/s
FP16 (half): 55.57 TFLOPS (4:1)
FP32 (float): 13.89 TFLOPS
FP64 (double): 6.947 TFLOPS (1:2)

Board Design:
Slot Width: IGP
TDP: 400 W
Suggested PSU: 800 W
Outputs: No outputs
Power Connectors: None

Graphics Features:
DirectX: N/A
OpenGL: N/A
OpenCL: 3.0
Vulkan: N/A
CUDA: 8.0
Shader Model: N/A

",없음
NVIDIA GRID RTX T10-16,"Graphics Processor: TU102
Cores: 4608
TMUs: 288
ROPs: 96
Memory Size: 16 GB
Memory Type: GDDR6
Bus Width: 384 bit","Graphics Processor:
GPU Name: TU102
GPU Variant: TU102-875-A1
Architecture: Turing
Foundry: TSMC
Process Size: 12 nm
Transistors: 18,600 million
Density: 24.7M / mm²
Die Size: 754 mm²

Graphics Card:
Release Date: Unknown
Generation: GRID (Tx)
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1065 MHz
Boost Clock: 1395 MHz
Memory Clock: 1575 MHz 12.6 Gbps effective

Memory:
Memory Size: 16 GB
Memory Type: GDDR6
Memory Bus: 384 bit
Bandwidth: 604.8 GB/s

Render Config:
Shading Units: 4608
TMUs: 288
ROPs: 96
SM Count: 72
Tensor Cores: 576
RT Cores: 72
L1 Cache: 64 KB (per SM)
L2 Cache: 6 MB

Theoretical Performance:
Pixel Rate: 133.9 GPixel/s
Texture Rate: 401.8 GTexel/s
FP16 (half): 25.71 TFLOPS (2:1)
FP32 (float): 12.86 TFLOPS
FP64 (double): 401.8 GFLOPS (1:32)

Board Design:
Slot Width: Dual-slot
Length: 267 mm 10.5 inches
TDP: 260 W
Suggested PSU: 600 W
Outputs: No outputs
Power Connectors: 1x 6-pin + 1x 8-pin
Board Number: PG150 SKU 215

Graphics Features:
DirectX: 12 Ultimate (12_2)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
CUDA: 7.5
Shader Model: 6.7

",없음
NVIDIA GRID RTX T10-2,"Graphics Processor: TU102
Cores: 4608
TMUs: 288
ROPs: 96
Memory Size: 2 GB
Memory Type: GDDR6
Bus Width: 384 bit","Graphics Processor:
GPU Name: TU102
GPU Variant: TU102-875-A1
Architecture: Turing
Foundry: TSMC
Process Size: 12 nm
Transistors: 18,600 million
Density: 24.7M / mm²
Die Size: 754 mm²

Graphics Card:
Release Date: 2020
Generation: GRID (Tx)
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1065 MHz
Boost Clock: 1395 MHz
Memory Clock: 1750 MHz 14 Gbps effective

Memory:
Memory Size: 2 GB
Memory Type: GDDR6
Memory Bus: 384 bit
Bandwidth: 672.0 GB/s

Render Config:
Shading Units: 4608
TMUs: 288
ROPs: 96
SM Count: 72
Tensor Cores: 576
RT Cores: 72
L1 Cache: 64 KB (per SM)
L2 Cache: 6 MB

Theoretical Performance:
Pixel Rate: 133.9 GPixel/s
Texture Rate: 401.8 GTexel/s
FP16 (half): 25.71 TFLOPS (2:1)
FP32 (float): 12.86 TFLOPS
FP64 (double): 401.8 GFLOPS (1:32)

Board Design:
Slot Width: Dual-slot
Length: 267 mm 10.5 inches
TDP: 260 W
Suggested PSU: 600 W
Outputs: No outputs
Power Connectors: 1x 6-pin + 1x 8-pin
Board Number: PG150 SKU 215

Graphics Features:
DirectX: 12 Ultimate (12_2)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
CUDA: 7.5
Shader Model: 6.7

",없음
NVIDIA GRID RTX T10-4,"Graphics Processor: TU102
Cores: 4608
TMUs: 288
ROPs: 96
Memory Size: 4 GB
Memory Type: GDDR6
Bus Width: 384 bit","Graphics Processor:
GPU Name: TU102
GPU Variant: TU102-875-A1
Architecture: Turing
Foundry: TSMC
Process Size: 12 nm
Transistors: 18,600 million
Density: 24.7M / mm²
Die Size: 754 mm²

Graphics Card:
Release Date: 2020
Generation: GRID (Tx)
Production: Active
Bus Interface: PCIe 3.0 x16

Clock Speeds:
Base Clock: 1065 MHz
Boost Clock: 1395 MHz
Memory Clock: 1750 MHz 14 Gbps effective

Memory:
Memory Size: 4 GB
Memory Type: GDDR6
Memory Bus: 384 bit
Bandwidth: 672.0 GB/s

Render Config:
Shading Units: 4608
TMUs: 288
ROPs: 96
SM Count: 72
Tensor Cores: 576
RT Cores: 72
L1 Cache: 64 KB (per SM)
L2 Cache: 6 MB

Theoretical Performance:
Pixel Rate: 133.9 GPixel/s
Texture Rate: 401.8 GTexel/s
FP16 (half): 25.71 TFLOPS (2:1)
FP32 (float): 12.86 TFLOPS
FP64 (double): 401.8 GFLOPS (1:32)

Board Design:
Slot Width: Dual-slot
Length: 267 mm 10.5 inches
TDP: 260 W
Suggested PSU: 600 W
Outputs: No outputs
Power Connectors: 1x 6-pin + 1x 8-pin
Board Number: PG150 SKU 215

Graphics Features:
DirectX: 12 Ultimate (12_2)
OpenGL: 4.6
OpenCL: 3.0
Vulkan: 1.3
CUDA: 7.5
Shader Model: 6.7

",없음
